time_index,y_true,y_pred,residual,absolute_error
0,98.5,98.2444,-0.25560000000000116,0.25559998
1,98.5,98.25077,-0.24922999999999718,0.24922943
2,98.5,98.25769,-0.24231000000000336,0.24230957
3,98.5,98.25317,-0.24683000000000277,0.2468338
4,98.5,98.23209,-0.26791000000000054,0.2679062
5,98.5,98.226265,-0.27373500000000206,0.27373505
6,98.5,98.230095,-0.2699049999999943,0.2699051
7,98.5,98.232445,-0.26755500000000154,0.26755524
8,98.5,98.24181,-0.25818999999999903,0.25818634
9,98.5,98.2487,-0.2513000000000005,0.251297
10,98.5,98.2556,-0.24439999999999884,0.24440002
11,98.5,98.247574,-0.2524259999999998,0.25242615
12,98.5,98.23213,-0.26787000000000205,0.26786804
13,98.5,98.225136,-0.2748639999999938,0.2748642
14,98.5,98.227165,-0.2728350000000006,0.27283478
15,98.5,98.231964,-0.26803599999999506,0.2680359
16,98.5,98.24154,-0.25845999999999947,0.258461
17,98.5,98.2458,-0.2541999999999973,0.2542038
18,98.5,98.251854,-0.24814600000000553,0.24814606
19,98.5,98.249825,-0.2501749999999987,0.25017548
20,98.5,98.23023,-0.26976999999999407,0.26976776
21,98.5,98.22221,-0.277789999999996,0.27778625
22,98.5,98.22425,-0.27575000000000216,0.2757492
23,98.5,98.2263,-0.27370000000000516,0.2736969
24,98.5,98.23434,-0.2656599999999969,0.26566315
25,98.5,98.23891,-0.2610899999999958,0.26109314
26,98.5,98.24487,-0.2551299999999941,0.25512695
27,98.5,98.24388,-0.2561199999999957,0.25611877
28,98.5,98.22517,-0.27482999999999436,0.27483368
29,98.5,98.21616,-0.28383999999999787,0.28383636
30,98.5,98.21758,-0.2824200000000019,0.2824173
31,98.5,98.220566,-0.27943399999999485,0.2794342
32,98.5,98.22986,-0.2701399999999978,0.2701416
33,98.5,98.23404,-0.26596000000000686,0.2659607
34,98.5,98.24291,-0.25709000000000515,0.2570877
35,98.5,98.23622,-0.263779999999997,0.2637787
36,98.5,98.21614,-0.2838600000000042,0.28385925
37,98.5,98.20811,-0.2918899999999951,0.291893
38,98.5,98.209625,-0.2903749999999974,0.29037476
39,98.5,98.2139,-0.2861000000000047,0.2861023
40,98.5,98.22376,-0.2762400000000014,0.2762375
41,98.5,98.22796,-0.27204000000000406,0.27204132
42,98.5,98.235405,-0.2645949999999999,0.26459503
43,98.5,98.234825,-0.2651749999999993,0.26517487
44,98.5,98.21989,-0.2801099999999934,0.28011322
45,98.5,98.211464,-0.28853599999999346,0.28853607
46,98.5,98.212395,-0.2876049999999992,0.2876053
47,98.5,98.21678,-0.28322,0.28321838
48,98.5,98.22695,-0.2730499999999978,0.2730484
49,98.5,98.23064,-0.26936000000000604,0.2693634
50,98.5,98.23831,-0.26169000000000153,0.26168823
51,98.5,98.231544,-0.26845600000000047,0.2684555
52,98.5,98.21257,-0.2874300000000005,0.2874298
53,98.5,98.2062,-0.2938000000000045,0.29380035
54,98.5,98.20737,-0.2926300000000026,0.29263306
55,98.5,98.21288,-0.2871200000000016,0.287117
56,98.5,98.22361,-0.27639000000000635,0.27639008
57,98.5,98.2277,-0.2723000000000013,0.27230072
58,98.5,98.24447,-0.25552999999999315,0.2555313
59,98.5,98.241356,-0.25864400000000387,0.2586441
60,98.5,98.227135,-0.2728649999999959,0.2728653
61,98.5,98.22056,-0.2794399999999939,0.27944183
62,98.5,98.22287,-0.27712999999999965,0.27713013
63,98.5,98.227684,-0.27231600000000356,0.27231598
64,98.5,98.23863,-0.26136999999999944,0.2613678
65,98.5,98.24453,-0.25547000000000253,0.25547028
66,98.5,98.26306,-0.23694000000000415,0.23693848
67,98.5,98.2617,-0.2382999999999953,0.23829651
68,98.5,98.24155,-0.2584499999999963,0.25845337
69,98.5,98.23496,-0.26503999999999905,0.26503754
70,98.5,98.23539,-0.2646100000000047,0.2646103
71,98.5,98.23784,-0.2621599999999944,0.26216125
72,98.5,98.255165,-0.2448349999999948,0.2448349
73,98.5,98.2595,-0.24049999999999727,0.2405014
74,98.5,98.270966,-0.22903399999999863,0.22903442
75,98.5,98.27405,-0.22594999999999743,0.22595215
76,98.5,98.26681,-0.23318999999999335,0.23319244
77,98.5,98.26799,-0.2320100000000025,0.23200989
78,98.5,98.2758,-0.22419999999999618,0.22419739
79,98.5,98.27463,-0.22536999999999807,0.22537231
80,98.5,98.27147,-0.22853000000000634,0.22853088
81,98.5,98.268234,-0.23176599999999326,0.23176575
82,98.5,98.26884,-0.2311600000000027,0.23116302
83,98.5,98.26882,-0.23117999999999483,0.23117828
84,98.5,98.26853,-0.23147000000000162,0.2314682
85,98.5,98.26883,-0.23117000000000587,0.23117065
86,98.5,98.26862,-0.23138000000000147,0.23137665
87,98.5,98.26816,-0.23184000000000538,0.23184204
88,98.5,98.26786,-0.23214000000000112,0.23213959
89,98.5,98.26796,-0.2320399999999978,0.2320404
90,98.5,98.26838,-0.2316200000000066,0.23162079
91,98.5,98.268555,-0.23144499999999368,0.23144531
92,98.5,98.26873,-0.23126999999999498,0.23126984
93,98.5,98.26898,-0.2310200000000009,0.23101807
94,98.5,98.26883,-0.23117000000000587,0.23117065
