seg,n,y_true_mean,y_pred_mean,bias,mae
Q1,4032,97.87519623363096,98.28030760391866,0.4051113702876963,0.5571176514052083
Q2,4031,96.75809846340859,98.23285839890846,1.4747599354998724,1.4747622907541553
Q3,4031,96.7,98.19653553187796,1.496535531877943,1.4965385919871
Q4,4031,97.03120813693872,98.15891661126271,1.1277084743239874,1.127710361240387
Q5,4032,97.28179318105158,98.12926024652776,0.8474670654761861,0.8474689304315476
