time_index,y_true,y_pred,residual,absolute_error
0,96.5,94.74576,-1.7542399999999958,1.754242
1,96.5,94.75126,-1.748739999999998,1.7487411
2,96.5,94.73041,-1.7695899999999938,1.7695923
3,96.5,94.72286,-1.7771400000000028,1.7771378
4,96.5,94.7301,-1.769900000000007,1.7698975
5,96.5,94.746666,-1.7533339999999953,1.753334
6,96.5,94.75064,-1.7493599999999958,1.7493591
7,96.5,94.75286,-1.7471400000000017,1.747139
8,96.5,94.755295,-1.7447049999999962,1.7447052
9,96.5,94.751366,-1.7486339999999956,1.7486343
10,96.5,94.73403,-1.7659699999999958,1.7659683
11,96.5,94.72498,-1.7750199999999978,1.7750168
12,96.5,94.71283,-1.7871700000000033,1.7871704
13,96.5,94.71094,-1.7890600000000063,1.7890625
14,96.5,94.71386,-1.7861400000000032,1.7861404
15,96.5,94.71984,-1.780159999999995,1.780159
16,96.5,94.73305,-1.7669499999999942,1.7669525
17,96.5,94.73437,-1.7656300000000016,1.7656326
18,96.5,94.722,-1.7780000000000058,1.7779999
19,96.5,94.708824,-1.791175999999993,1.7911758
20,96.5,94.705444,-1.794556,1.7945557
21,96.5,94.706116,-1.7938840000000056,1.7938843
22,96.5,94.7141,-1.785899999999998,1.7858963
23,96.5,94.719284,-1.7807159999999982,1.780716
24,96.5,94.72976,-1.7702400000000011,1.7702408
25,96.5,94.73466,-1.7653399999999948,1.7653427
26,96.5,94.72536,-1.774640000000005,1.774643
27,96.5,94.71269,-1.787310000000005,1.7873077
28,96.5,94.710075,-1.7899249999999967,1.7899246
29,96.5,94.71009,-1.789910000000006,1.7899094
30,96.5,94.71729,-1.7827099999999945,1.7827072
31,96.5,94.72145,-1.7785499999999956,1.7785492
32,96.5,94.729614,-1.770386000000002,1.7703857
33,96.5,94.73334,-1.7666600000000017,1.7666626
34,96.5,94.72401,-1.775989999999993,1.7759933
35,96.5,94.71053,-1.7894699999999943,1.7894669
36,96.5,94.708466,-1.7915339999999986,1.7915344
37,96.5,94.706314,-1.793685999999994,1.7936859
38,96.5,94.71271,-1.7872899999999987,1.7872925
39,96.5,94.71671,-1.7832899999999938,1.783287
40,96.5,94.72522,-1.774780000000007,1.7747803
41,96.5,94.72791,-1.7720900000000057,1.7720871
42,96.5,94.718475,-1.781525000000002,1.7815247
43,96.5,94.70486,-1.7951400000000035,1.7951431
44,96.5,94.702446,-1.7975540000000052,1.797554
45,96.5,94.699745,-1.800255000000007,1.8002548
46,96.5,94.70311,-1.7968900000000048,1.7968903
47,96.5,94.70547,-1.7945299999999946,1.7945328
48,96.5,94.71378,-1.7862200000000001,1.7862167
49,96.5,94.71771,-1.7822900000000033,1.7822876
50,96.5,94.70899,-1.79101,1.791008
51,96.5,94.69706,-1.8029400000000066,1.8029404
52,96.5,94.695145,-1.8048550000000034,1.8048553
53,96.5,94.696754,-1.8032460000000015,1.8032455
54,96.5,94.702805,-1.797195000000002,1.7971954
55,96.5,94.70636,-1.7936399999999963,1.7936401
56,96.5,94.71563,-1.7843699999999956,1.7843704
57,96.5,94.72227,-1.7777300000000054,1.7777328
58,96.5,94.714035,-1.7859650000000045,1.785965
59,96.5,94.69872,-1.8012800000000055,1.8012772
60,96.5,94.695755,-1.8042449999999945,1.804245
61,96.5,94.6945,-1.805499999999995,1.8054962
62,96.5,94.69839,-1.8016099999999966,1.8016129
63,96.5,94.69965,-1.8003499999999946,1.8003464
64,96.5,94.708565,-1.791435000000007,1.7914352
65,96.5,94.71296,-1.7870400000000046,1.7870407
66,96.5,94.70284,-1.7971600000000052,1.7971573
67,96.5,94.68936,-1.8106400000000065,1.8106384
68,96.5,94.68482,-1.815179999999998,1.8151779
69,96.5,94.67969,-1.8203100000000063,1.8203125
70,96.5,94.67828,-1.8217199999999991,1.8217163
71,96.5,94.664986,-1.835014000000001,1.8350143
72,96.5,94.64774,-1.8522600000000011,1.8522568
73,96.5,94.62602,-1.873980000000003,1.8739777
74,96.5,94.62347,-1.8765300000000025,1.8765335
75,96.5,94.61834,-1.8816599999999966,1.8816605
76,96.5,94.61044,-1.889560000000003,1.8895569
77,96.5,94.606155,-1.893844999999999,1.8938446
78,96.5,94.607346,-1.8926539999999932,1.8926544
79,96.5,94.605064,-1.8949360000000013,1.8949356
80,96.5,94.607704,-1.8922960000000018,1.8922958
81,96.5,94.60941,-1.890590000000003,1.8905869
82,96.5,94.60969,-1.8903099999999995,1.8903122
83,96.5,94.60532,-1.894679999999994,1.8946762
84,96.5,94.60603,-1.893969999999996,1.8939667
85,96.5,94.604034,-1.8959660000000014,1.8959656
86,96.5,94.604065,-1.8959349999999944,1.895935
87,96.5,94.60309,-1.8969100000000054,1.8969116
88,96.5,94.60666,-1.893339999999995,1.8933411
89,96.5,94.60777,-1.8922299999999979,1.8922272
90,96.5,94.608635,-1.8913649999999933,1.891365
91,96.5,94.60715,-1.8928499999999957,1.8928528
92,96.5,94.60751,-1.8924899999999951,1.8924866
93,96.5,94.60675,-1.8932499999999948,1.8932495
94,96.5,94.60639,-1.8936099999999954,1.8936081
95,96.5,94.60364,-1.8963600000000014,1.8963623
96,96.5,94.60489,-1.8951100000000025,1.8951111
97,96.5,94.60715,-1.8928499999999957,1.8928528
98,96.5,94.60752,-1.8924800000000062,1.892479
99,96.5,94.60796,-1.8920399999999944,1.8920364
100,96.5,94.60937,-1.8906300000000016,1.8906326
101,96.5,94.61084,-1.889160000000004,1.8891602
102,96.5,94.61161,-1.8883900000000011,1.8883896
103,96.5,94.61196,-1.8880400000000037,1.8880386
104,96.5,94.61294,-1.8870600000000053,1.8870621
105,96.5,94.614395,-1.8856049999999982,1.8856049
106,96.5,94.61502,-1.8849799999999988,1.8849792
107,96.5,94.61551,-1.8844899999999996,1.884491
108,96.5,94.61626,-1.883740000000003,1.8837433
109,96.5,94.6175,-1.8824999999999932,1.8824997
110,96.5,94.61816,-1.8818399999999968,1.8818436
111,96.5,94.61817,-1.8818299999999937,1.8818283
112,96.5,94.61836,-1.8816400000000044,1.8816376
113,96.5,94.618324,-1.8816759999999988,1.8816757
114,96.5,94.618286,-1.8817140000000023,1.8817139
115,96.5,94.618355,-1.881645000000006,1.8816452
116,96.5,94.61848,-1.8815199999999948,1.8815231
117,96.5,94.618385,-1.8816149999999965,1.8816147
118,96.5,94.618385,-1.8816149999999965,1.8816147
119,96.5,94.61836,-1.8816400000000044,1.8816376
120,96.5,94.61837,-1.8816300000000012,1.88163
121,96.5,94.618385,-1.8816149999999965,1.8816147
122,96.5,94.61837,-1.8816300000000012,1.88163
123,96.5,94.61843,-1.8815699999999964,1.8815689
124,96.5,94.61838,-1.881619999999998,1.8816223
125,96.5,94.618256,-1.8817439999999976,1.8817444
126,96.5,94.61809,-1.8819100000000049,1.8819122
127,96.5,94.61808,-1.8819199999999938,1.8819199
128,96.5,94.61801,-1.8819900000000018,1.8819885
129,96.5,94.618034,-1.8819660000000056,1.8819656
130,96.5,94.61808,-1.8819199999999938,1.8819199
131,96.5,94.618065,-1.8819349999999986,1.8819351
132,96.5,94.6179,-1.882099999999994,1.882103
133,96.5,94.61789,-1.8821099999999973,1.8821106
134,96.5,94.617905,-1.8820950000000067,1.8820953
135,96.5,94.61784,-1.882159999999999,1.8821564
136,96.5,94.61786,-1.8821400000000068,1.8821411
137,96.5,94.61794,-1.8820599999999956,1.8820572
138,96.5,94.61804,-1.8819600000000065,1.881958
139,96.5,94.61811,-1.8818899999999985,1.8818893
140,96.5,94.61814,-1.8818600000000032,1.8818588
141,96.5,94.61819,-1.8818100000000015,1.881813
142,96.5,94.61818,-1.8818200000000047,1.8818207
143,96.5,94.618126,-1.8818739999999963,1.8818741
144,96.5,94.61821,-1.8817899999999952,1.8817902
145,96.5,94.61845,-1.8815500000000043,1.8815536
146,96.5,94.61853,-1.881469999999993,1.8814697
147,96.5,94.61867,-1.8813300000000055,1.8813324
148,96.5,94.61879,-1.8812099999999958,1.8812103
149,96.5,94.61885,-1.8811500000000052,1.8811493
150,96.5,94.61889,-1.8811100000000067,1.8811111
151,96.5,94.61902,-1.8809799999999939,1.8809814
152,96.5,94.6191,-1.880899999999997,1.8808975
153,96.5,94.6194,-1.8806000000000012,1.8806
154,96.5,94.619545,-1.8804549999999978,1.880455
155,96.5,94.619774,-1.8802259999999933,1.8802261
156,96.5,94.619896,-1.8801040000000029,1.8801041
157,96.5,94.62005,-1.8799499999999938,1.8799515
