seg,n,y_true_mean,y_pred_mean,bias,mae
Q1,6277,96.53665763899951,94.66875115341723,-1.8679064855822824,1.8722099645961445
Q2,6276,96.77000996892926,94.67184499792862,-2.098164971000639,2.098163538240918
Q3,6276,96.27743514913959,94.69939125764819,-1.5780438914914,1.5837080930065328
Q4,6276,96.09032781007011,94.72060383891014,-1.3697239711599742,1.3838243628081581
Q5,6276,96.63030332361376,94.71514143419374,-1.9151618894200129,1.9179062789085406
